 # time [a.u.]         RMT-1           RMT-3           RMT-6          SAE
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 1.00000000E-01  1.98906563E-11  1.89549062E-11  1.89267642E-11  2.10103157E-11
 2.00000000E-01  3.14450249E-10  2.99693857E-10  2.99243749E-10  3.13973493E-10
 3.00000000E-01  1.57232943E-09  1.49888784E-09  1.49659471E-09  1.54141892E-09
 4.00000000E-01  4.89776563E-09  4.67042115E-09  4.66309301E-09  4.76370109E-09
 5.00000000E-01  1.17625701E-08  1.12205113E-08  1.12023454E-08  1.14006135E-08
 6.00000000E-01  2.39542919E-08  2.28589186E-08  2.28205450E-08  2.31885195E-08
 7.00000000E-01  4.35234294E-08  4.15488265E-08  4.14762430E-08  4.21352148E-08
 8.00000000E-01  7.27316077E-08  6.94572286E-08  6.93306577E-08  7.04739350E-08
 9.00000000E-01  1.14001036E-07  1.08906155E-07  1.08698876E-07  1.10617478E-07
 1.00000000E+00  1.69867121E-07  1.62326667E-07  1.62003879E-07  1.65113136E-07
 1.10000000E+00  2.42932584E-07  2.32214135E-07  2.31731933E-07  2.36598941E-07
 1.20000000E+00  3.35824919E-07  3.21086650E-07  3.20391171E-07  3.27761624E-07
 1.30000000E+00  4.51157758E-07  4.31447255E-07  4.30474065E-07  4.41296541E-07
 1.40000000E+00  5.91493395E-07  5.65747440E-07  5.64421222E-07  5.79869818E-07
 1.50000000E+00  7.59308201E-07  7.26353567E-07  7.24588160E-07  7.46082837E-07
 1.60000000E+00  9.56963831E-07  9.15519069E-07  9.13217847E-07  9.42439204E-07
 1.70000000E+00  1.18667939E-06  1.13535785E-06  1.13241448E-06  1.17131425E-06
 1.80000000E+00  1.45050438E-06  1.38781868E-06  1.38411827E-06  1.43492715E-06
 1.90000000E+00  1.75029639E-06  1.67466438E-06  1.67008489E-06  1.73531561E-06
 2.00000000E+00  2.08770344E-06  1.99745546E-06  1.99186949E-06  2.07431320E-06
 2.10000000E+00  2.46414814E-06  2.35753578E-06  2.35081244E-06  2.45352931E-06
 2.20000000E+00  2.88081101E-06  2.75601757E-06  2.74802461E-06  2.87433157E-06
 2.30000000E+00  3.33861574E-06  3.19376826E-06  3.18437431E-06  3.33783092E-06
 2.40000000E+00  3.83822181E-06  3.67140424E-06  3.66048100E-06  3.84486903E-06
 2.50000000E+00  4.38002040E-06  4.18928758E-06  4.17671198E-06  4.39600813E-06
 2.60000000E+00  4.96412776E-06  4.74752050E-06  4.73317669E-06  4.99152322E-06
 2.70000000E+00  5.59037952E-06  5.34594050E-06  5.32972181E-06  5.63139644E-06
 2.80000000E+00  6.25832756E-06  5.98411785E-06  5.96592852E-06  6.31531361E-06
 2.90000000E+00  6.96724056E-06  6.66135630E-06  6.64111299E-06  7.04266281E-06
 3.00000000E+00  7.71610956E-06  7.37669810E-06  7.35433116E-06  7.81253491E-06
 3.10000000E+00  8.50365461E-06  8.12893017E-06  8.10438457E-06  8.62372593E-06
 3.20000000E+00  9.32832818E-06  8.91658707E-06  8.88982313E-06  9.47474119E-06
 3.30000000E+00  1.01883172E-05  9.73795282E-06  9.70894685E-06  1.03638010E-05
 3.40000000E+00  1.10815480E-05  1.05910649E-05  1.05598096E-05  1.12888480E-05
 3.50000000E+00  1.20056985E-05  1.14737255E-05  1.14402300E-05  1.22475556E-05
 3.60000000E+00  1.29582142E-05  1.23835152E-05  1.23478051E-05  1.32373383E-05
 3.70000000E+00  1.39363193E-05  1.33178034E-05  1.32799205E-05  1.42553624E-05
 3.80000000E+00  1.49370269E-05  1.42737569E-05  1.42337589E-05  1.52985588E-05
 3.90000000E+00  1.59571497E-05  1.52483504E-05  1.52063101E-05  1.63636353E-05
 4.00000000E+00  1.69933107E-05  1.62383755E-05  1.61943808E-05  1.74470916E-05
 4.10000000E+00  1.80419554E-05  1.72404526E-05  1.71946057E-05  1.85452331E-05
 4.20000000E+00  1.90993684E-05  1.82510457E-05  1.82034625E-05  1.96541871E-05
 4.30000000E+00  2.01616939E-05  1.92664813E-05  1.92172905E-05  2.07699179E-05
 4.40000000E+00  2.12249544E-05  2.02829665E-05  2.02323090E-05  2.18882440E-05
 4.50000000E+00  2.22850653E-05  2.12966026E-05  2.12446304E-05  2.30048539E-05
 4.60000000E+00  2.33378437E-05  2.23033941E-05  2.22502696E-05  2.41153235E-05
 4.70000000E+00  2.43790198E-05  2.32992602E-05  2.32451555E-05  2.52151327E-05
 4.80000000E+00  2.54042506E-05  2.42800480E-05  2.42251442E-05  2.62996830E-05
 4.90000000E+00  2.64091396E-05  2.52415512E-05  2.51860375E-05  2.73643137E-05
 5.00000000E+00  2.73892589E-05  2.61795312E-05  2.61236043E-05  2.84043194E-05
 5.10000000E+00  2.83401673E-05  2.70897351E-05  2.70335978E-05  2.94149662E-05
 5.20000000E+00  2.92574217E-05  2.79679066E-05  2.79117673E-05  3.03915083E-05
 5.30000000E+00  3.01365890E-05  2.88097984E-05  2.87538701E-05  3.13292039E-05
 5.40000000E+00  3.09732585E-05  2.96111847E-05  2.95556840E-05  3.22233305E-05
 5.50000000E+00  3.17630539E-05  3.03678723E-05  3.03130188E-05  3.30692006E-05
 5.60000000E+00  3.25016419E-05  3.10757107E-05  3.10217256E-05  3.38621754E-05
 5.70000000E+00  3.31847440E-05  3.17306018E-05  3.16777076E-05  3.45976796E-05
 5.80000000E+00  3.38081537E-05  3.23285170E-05  3.22769361E-05  3.52712140E-05
 5.90000000E+00  3.43677552E-05  3.28655150E-05  3.28154685E-05  3.58783684E-05
 6.00000000E+00  3.48595373E-05  3.33377542E-05  3.32894609E-05  3.64148335E-05
 6.10000000E+00  3.52796008E-05  3.37415007E-05  3.36951754E-05  3.68764121E-05
